trial_date,group_no,trial_venue,distance_m,going,group_time,group_sectional_times
16/04/2026,1,沙田全天候跑道,1200,好地,1.10.96,25.6   23.0   22.3
16/04/2026,2,沙田全天候跑道,1200,好地,1.10.79,25.2   22.8   22.7
16/04/2026,3,沙田全天候跑道,1200,好地,1.10.26,24.8   22.7   22.7
16/04/2026,4,沙田全天候跑道,1200,好地,1.10.76,24.8   22.7   23.2
14/04/2026,1,沙田全天候跑道,1200,好地,1.10.96,25.6   23.0   22.3
14/04/2026,2,沙田全天候跑道,1200,好地,1.10.79,25.2   22.8   22.7
14/04/2026,3,沙田全天候跑道,1200,好地,1.10.26,24.8   22.7   22.7
14/04/2026,4,沙田全天候跑道,1200,好地,1.10.76,24.8   22.7   23.2
13/04/2026,1,沙田全天候跑道,1200,好地,1.10.96,25.6   23.0   22.3
13/04/2026,2,沙田全天候跑道,1200,好地,1.10.79,25.2   22.8   22.7
13/04/2026,3,沙田全天候跑道,1200,好地,1.10.26,24.8   22.7   22.7
13/04/2026,4,沙田全天候跑道,1200,好地,1.10.76,24.8   22.7   23.2
10/04/2026,1,沙田全天候跑道,1200,好地,1.10.96,25.6   23.0   22.3
10/04/2026,2,沙田全天候跑道,1200,好地,1.10.79,25.2   22.8   22.7
10/04/2026,3,沙田全天候跑道,1200,好地,1.10.26,24.8   22.7   22.7
10/04/2026,4,沙田全天候跑道,1200,好地,1.10.76,24.8   22.7   23.2
09/04/2026,1,沙田全天候跑道,1200,好地,1.10.96,25.6   23.0   22.3
09/04/2026,2,沙田全天候跑道,1200,好地,1.10.79,25.2   22.8   22.7
09/04/2026,3,沙田全天候跑道,1200,好地,1.10.26,24.8   22.7   22.7
09/04/2026,4,沙田全天候跑道,1200,好地,1.10.76,24.8   22.7   23.2
02/04/2026,1,沙田全天候跑道,1200,好地,1.10.96,25.6   23.0   22.3
02/04/2026,2,沙田全天候跑道,1200,好地,1.10.79,25.2   22.8   22.7
02/04/2026,3,沙田全天候跑道,1200,好地,1.10.26,24.8   22.7   22.7
02/04/2026,4,沙田全天候跑道,1200,好地,1.10.76,24.8   22.7   23.2
31/03/2026,1,沙田全天候跑道,1200,好地,1.10.96,25.6   23.0   22.3
31/03/2026,2,沙田全天候跑道,1200,好地,1.10.79,25.2   22.8   22.7
31/03/2026,3,沙田全天候跑道,1200,好地,1.10.26,24.8   22.7   22.7
31/03/2026,4,沙田全天候跑道,1200,好地,1.10.76,24.8   22.7   23.2
30/03/2026,1,沙田全天候跑道,1200,好地,1.10.96,25.6   23.0   22.3
30/03/2026,2,沙田全天候跑道,1200,好地,1.10.79,25.2   22.8   22.7
30/03/2026,3,沙田全天候跑道,1200,好地,1.10.26,24.8   22.7   22.7
30/03/2026,4,沙田全天候跑道,1200,好地,1.10.76,24.8   22.7   23.2
27/03/2026,1,沙田全天候跑道,1200,好地,1.10.96,25.6   23.0   22.3
27/03/2026,2,沙田全天候跑道,1200,好地,1.10.79,25.2   22.8   22.7
27/03/2026,3,沙田全天候跑道,1200,好地,1.10.26,24.8   22.7   22.7
27/03/2026,4,沙田全天候跑道,1200,好地,1.10.76,24.8   22.7   23.2
26/03/2026,1,沙田全天候跑道,1200,好地,1.10.96,25.6   23.0   22.3
26/03/2026,2,沙田全天候跑道,1200,好地,1.10.79,25.2   22.8   22.7
26/03/2026,3,沙田全天候跑道,1200,好地,1.10.26,24.8   22.7   22.7
26/03/2026,4,沙田全天候跑道,1200,好地,1.10.76,24.8   22.7   23.2
24/03/2026,1,沙田全天候跑道,1200,好地,1.10.96,25.6   23.0   22.3
24/03/2026,2,沙田全天候跑道,1200,好地,1.10.79,25.2   22.8   22.7
24/03/2026,3,沙田全天候跑道,1200,好地,1.10.26,24.8   22.7   22.7
24/03/2026,4,沙田全天候跑道,1200,好地,1.10.76,24.8   22.7   23.2
20/03/2026,1,沙田全天候跑道,1200,好地,1.10.96,25.6   23.0   22.3
20/03/2026,2,沙田全天候跑道,1200,好地,1.10.79,25.2   22.8   22.7
20/03/2026,3,沙田全天候跑道,1200,好地,1.10.26,24.8   22.7   22.7
20/03/2026,4,沙田全天候跑道,1200,好地,1.10.76,24.8   22.7   23.2
19/03/2026,1,沙田全天候跑道,1200,好地,1.10.96,25.6   23.0   22.3
19/03/2026,2,沙田全天候跑道,1200,好地,1.10.79,25.2   22.8   22.7
19/03/2026,3,沙田全天候跑道,1200,好地,1.10.26,24.8   22.7   22.7
19/03/2026,4,沙田全天候跑道,1200,好地,1.10.76,24.8   22.7   23.2
17/03/2026,1,沙田全天候跑道,1200,好地,1.10.96,25.6   23.0   22.3
17/03/2026,2,沙田全天候跑道,1200,好地,1.10.79,25.2   22.8   22.7
17/03/2026,3,沙田全天候跑道,1200,好地,1.10.26,24.8   22.7   22.7
